series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_classification,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1993,A,0,199352,01/01/1993,X,Exports,,1,Total,0,World,2000,,87.12221514,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1993,A,0,199352,01/01/1993,M,Imports,,1,Total,0,World,2000,,90.49813155,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1994,A,0,199452,01/01/1994,X,Exports,,1,Total,0,World,2000,,84.69736347,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1994,A,0,199452,01/01/1994,M,Imports,,1,Total,0,World,2000,,88.32954161,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2015,A,0,201552,01/01/2015,M,Imports,,1,Total,0,World,2000,,99.49474184,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2015,A,0,201552,01/01/2015,X,Exports,,1,Total,0,World,2000,,147.55259158,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2016,A,0,201652,01/01/2016,M,Imports,,1,Total,0,World,2000,,96.23477601,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2016,A,0,201652,01/01/2016,X,Exports,,1,Total,0,World,2000,,141.33787738,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2002,A,0,200252,01/01/2002,X,Exports,,1,Total,0,World,2000,,106.73825986,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2002,A,0,200252,01/01/2002,M,Imports,,1,Total,0,World,2000,,100.83966048,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2005,A,0,200552,01/01/2005,X,Exports,,1,Total,0,World,2000,,116.08770984,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2005,A,0,200552,01/01/2005,M,Imports,,1,Total,0,World,2000,,88.55951174,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2006,A,0,200652,01/01/2006,X,Exports,,1,Total,0,World,2000,,134.18051946,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2006,A,0,200652,01/01/2006,M,Imports,,1,Total,0,World,2000,,92.21007044,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2006,A,0,200652,01/01/2006,X,Exports,,1,Total,0,World,2000,,93.94514648,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2006,A,0,200652,01/01/2006,M,Imports,,1,Total,0,World,2000,,85.78173735,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2005,A,0,200552,01/01/2005,X,Exports,,1,Total,0,World,2000,,86.0927131,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2005,A,0,200552,01/01/2005,M,Imports,,1,Total,0,World,2000,,80.09451845,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2002,A,0,200252,01/01/2002,X,Exports,,1,Total,0,World,2000,,89.59322386,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2004,A,0,200452,01/01/2004,X,Exports,,1,Total,0,World,2000,,85.24130125,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2002,A,0,200252,01/01/2002,M,Imports,,1,Total,0,World,2000,,90.80577622,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2001,A,0,200152,01/01/2001,X,Exports,,1,Total,0,World,2000,,103.4058618,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2016,A,0,201652,01/01/2016,M,Imports,,1,Total,0,World,2000,,73.43574986,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2016,A,0,201652,01/01/2016,X,Exports,,1,Total,0,World,2000,,96.78343611,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",554,C,New Zealand,2015,A,0,201552,01/01/2015,M,Imports,,1,Total,0,World,2000,,76.8717582,,P,Price,A,Actual
